Código,Tipo,Nombre comercial,Fabricante,F. de registro,Url
F0001735/2022,Abono orgánico NPK de origen animal y vegetal,NEGROT-ECO,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",16/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1735
F0001736/2022,Abono órgano-mineral NP,NP 2-18-0+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1736
F0001737/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 4-6-12+MO,"FERTIKALI, S.L.",23/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1737
F0001738/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 5-10-20+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1738
F0001739/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 7-12-7+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1739
F0001740/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 8-15-15+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1740
F0001741/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 8-16-8+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1741
F0001742/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 9-20-5+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1742
F0001743/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 10-24-8+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1743
F0001745/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 18-5-8+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1745
F0001746/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 15-15-15+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1746
F0001747/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 5-10-15+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1747
F0001748/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 20-5-10+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1748
F0001749/2022,Enmienda orgánica Compost,COTRACOMPOST-MIX,"INTRAVAL, S.L.",14/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1749
F0001750/2022,Abono orgánico NP de origen animal y vegetal,ORGANOKALI,"FERTIKALI, S.L.",23/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1750
F0001751/2022,Abono orgánico NPK de origen animal y vegetal,SOUSACAMP ABONO ORGÁNICO NPK (PELETS),"SOUSACAMP ESPAÑA, S.A.",18/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1751
F0001752/2022,Abono órgano-mineral NK líquido,LUZER FN,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",28/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1752
F0001757/2022,Abono orgánico NPK de origen animal y vegetal,AGROTHAME ORGANITE START,"AGROAMB PRODALT, S.L.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1757
F0001759/2022,Abono órgano-mineral NP líquido,NUTRIPHOS COMPLEX,BIOTECH AGRICO SLU,17/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1759
F0001762/2022,Abono órgano-mineral NK líquido,FERTIMOL,"FERTILIZANTES XILOCA, S.L.",08/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1762
F0001763/2022,Abono órgano-mineral NK líquido,BATALLÓN,"AGROINDUSTRIAL KIMITEC, S.L.",19/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1763
F0001766/2022,Abono órgano-mineral NPK,ORGAMIN-AZ100,"FERESP, S.L.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1766
F0001767/2022,Abono órgano-mineral NPK,ORGAMIN-AZ97,"FERESP, S.L.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1767
F0001768/2022,Abono órgano-mineral NPK,ORGAMIN-AZ92,"FERESP, S.L.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1768
F0001769/2022,Abono órgano-mineral NK líquido,NIXID-ECO,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",14/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1769
F0001774/2022,Abono órgano-mineral nitrogenado líquido,ATRIFOL-C,"NUTRIENTES FOLIARES, S.A.",25/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1774
F0001775/2022,Abono órgano-mineral nitrogenado líquido,NITROFOL,"NUTRIENTES FOLIARES, S.A.",11/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1775
F0001776/2022,Abono órgano-mineral nitrogenado líquido,NITROPOWER,"NUTRIENTES FOLIARES, S.A.",13/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1776
F0001777/2022,Abono órgano-mineral nitrogenado líquido,ATRIFOL,"NUTRIENTES FOLIARES, S.A.",13/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1777
F0001778/2022,Abono órgano-mineral NPK,NUTRALENT 4-4-4,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",16/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1778
F0001779/2022,Enmienda orgánica Vermicompost,"HUMUS DE LOMBRIZ ""GREEN PLANTS""","PLANETA FERTIL, S.L.",08/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1779
F0001780/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA SUMMUM-S 25,"FERTIUM MAXIMA, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1780
F0001781/2022,Abono órgano-mineral NPK,AM ACTIBION 35  5-10-6s (2 MgO) 30 m.o.,"FERTIUM MAXIMA, S.L.",27/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1781
F0001782/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA ADVANCED 40,"FERTIUM MAXIMA, S.L.",27/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1782
F0001783/2022,Abono órgano-mineral NPK,HUMIFERTAK PROFESIONAL ADVANCED 40,"FERTINAGRO BIOTECH, S.L.",27/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1783
F0001785/2022,Abono órgano-mineral NK líquido,AHP-FULVIC,AHP CROPSCIENCE,28/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1785
F0001786/2022,Abono orgánico NPK de origen animal y vegetal,FEM DE SAC PELLET,"FERTINAGRO BIOTECH, S.L.",13/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1786
F0001790/2022,Abono órgano-mineral nitrogenado líquido,GREEN CROPS,"NUTRIENTES FOLIARES, S.A.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1790
F0001791/2022,Abono órgano-mineral NK líquido,CALINA MADURACION,"NUTRIENTES FOLIARES, S.A.",23/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1791
F0001797/2022,Abono orgánico NPK de origen animal y vegetal,ACTION PLUS,"AGUIGAME, S.L.",26/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1797
F0001798/2022,Abono órgano-mineral NK líquido con turba,AGRIMARTIN BIOLOGICO LIQUIDO,"FERTINAGRO BIOTECH, S.L.",11/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1798
F0001801/2022,Abono órgano-mineral NK líquido,RIZHUM KULVIC,"RIZHUM NATURE, S.L.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1801
F0001802/2022,Abono orgánico NPK de origen animal,AVICOMPOST DE ARAKIL,"AVICOLA SAN MIGUEL, SAT 705-NA",14/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1802
F0001805/2022,Abono órgano-mineral nitrogenado,NITROHUMATO SUMMUM 20/42,"FERTINAGRO BIOTECH, S.L.",07/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1805
F0001806/2022,Abono órgano-mineral nitrogenado,AGRIORGAN MAXIMA SUMMUM 20/42,"FERTIUM MAXIMA, S.L.",07/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1806
F0001807/2022,Abono órgano-mineral NPK,HUMIFERTAK PROFESIONAL ADVANCED SPRING,"FERTINAGRO BIOTECH, S.L.",20/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1807
F0001808/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA ADVANCED SPRING,"FERTIUM MAXIMA, S.L.",21/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1808
F0001809/2022,Enmienda orgánica Vermicompost,LOMBRINEVADA,GONZALO GOMEZ NAVARRO,09/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1809
F0001810/2022,Enmienda orgánica húmica,QUELHUMUS,"INFERCO, S.L.",29/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1810
F0001811/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA ADVANCED 26,"FERTIUM MAXIMA, S.L.",21/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1811
F0001812/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA COMPLEX K,"FERTIUM MAXIMA, S.L.",26/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1812
F0001821/2022,Abono órgano-mineral NK líquido,FUMUS LIQUIDO,"JOSE FUSTE, S.A.",01/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1821
F0001822/2022,Enmienda orgánica Compost,GROWFER,"PROINTRAVAL, S.L.",17/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1822
F0001824/2022,Enmienda orgánica Compost,COBIOFERSA,"BIOMASA DEL GUADALQUIVIR, S.A.",27/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1824
F0001845/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 10-5-15+MO,"FERTIKALI, S.L.",18/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1845
F0001847/2022,Enmienda orgánica Compost,VALDI-COMPOST,"TRADEBE-VALDILECHA,S.L.",19/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1847
F0001849/2023,Abono órgano-mineral NPK con lignito o leonardita,NATURGAN 5-4-5,LABORATORIOS ECONATUR S.L.,22/03/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1849
F0001850/2022,Abono órgano-mineral NK líquido,BOOSTER KG,BIOTECH AGRICO SLU,04/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1850
F0001851/2022,Abono órgano-mineral NPK,FERTICOM 4-4-12,"FERTILIZANTES GOMBAU, S.L.",20/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1851
F0001852/2022,Abono órgano-mineral NK líquido,HUMIACTIV 25,"AGROINDUSTRIAL KIMITEC, S.L.",16/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1852
F0001858/2022,Abono orgánico NPK de origen animal,BIOF,"AVIPORTO, S.L.",26/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1858
F0001859/2022,Abono orgánico NPK de origen animal,ABONOR,"AVIPORTO, S.L.",26/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1859
F0001860/2022,Abono orgánico NK líquido de origen vegetal,SANABE,"ABONOS VIVA, S.L.",01/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1860
F0001862/2022,Abono orgánico NK líquido de origen vegetal,HISPAMOL,"HISPALENSE DE LIQUIDOS, S.L.",19/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1862
F0001863/2022,Abono orgánico nitrogenado de origen vegetal,BESTIM,"NUTRICROP, S.L.",28/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1863
F0001869/2022,Abono orgánico NPK de origen animal y vegetal,ACTION,"AGUIGAME, S.L.",13/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1869
F0001870/2022,Abono orgánico NK líquido de origen vegetal,BIO SANABE,"ABONOS VIVA, S.L.",05/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1870
F0001878/2022,Abono orgánico NK líquido de origen vegetal,W. FULVIC M.O.,"AGROSERNA, S.L.",20/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1878
F0001880/2022,Abono órgano-mineral NK líquido,SPLENDOR F,"AGROSERNA, S.L.",26/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1880
F0001883/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 5-10-10+MO,"FERTIKALI, S.L.",17/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1883
F0001884/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 6-12-6+MO,"FERTIKALI, S.L.",17/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1884
F0001885/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 7-10-20+MO,"FERTIKALI, S.L.",18/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1885
F0001887/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 20-5-5+MO,"FERTIKALI, S.L.",18/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1887
F0001888/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 20-8-10+MO,"FERTIKALI, S.L.",18/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1888
F0001889/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 20-10-10+MO,"FERTIKALI, S.L.",17/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1889
F0001890/2022,Abono orgánico NPK de origen animal,AGROBETA BAT GUANO,"ENVASADORA COSTA DEL SOL, S.L.",27/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1890
F0001894/2022,Enmienda orgánica Compost,AGROTHAME ORGANITE COMPOST,"AGROAMB PRODALT, S.L.",27/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1894
F0001895/2022,Enmienda orgánica Compost,AGROTHAME ORGANITE COMPOST START,"AGROAMB PRODALT, S.L.",27/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1895
F0001896/2022,Enmienda orgánica húmica,AGROTHAME ORGANITE HUMICO START,"AGROAMB PRODALT, S.L.",02/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1896
F0001897/2022,Enmienda orgánica húmica,AGROTHAME ORGANITE HUMICO,"AGROAMB PRODALT, S.L.",02/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1897
F0001898/2022,Abono órgano-mineral NPK,dABONA ORGANICO MINERAL NPK 6-3-3,"FERTILIZANTES DSA, S.L.U.",13/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1898
F0001904/2022,Enmienda orgánica Compost,INDALOFÉRTIL ECOORGANIC PELLET,"INDALOBLANC, S.L.",04/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1904
F0001905/2022,Enmienda orgánica Compost,INDALOFÉRTIL ECOORGANIC POLVO,"INDALOBLANC, S.L.",04/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1905
F0001906/2023,Enmienda orgánica Compost,COMPOST MONTEJURRA,"SERVICIOS DE MONTEJURRA, S.A.",23/07/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1906
F0001909/2023,Enmienda orgánica húmica,RIZHUM KUMITA 20 POLVO,"RIZHUM NATURE, S.L.",23/01/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1909
F0001910/2023,Enmienda orgánica húmica,RIZHUM KUMITA 20 GRANULADA,"RIZHUM NATURE, S.L.",23/01/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1910
F0001911/2023,Abono órgano-mineral NK líquido,RIZHUM KULVIC 40,"RIZHUM NATURE, S.L.",14/03/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1911
F0001912/2022,Abono orgánico nitrogenado de origen vegetal,elfer GLADIS,"DESARROLLOS AGROQUIMICOS, S.A. (DASA)",19/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1912
F0001913/2023,Abono orgánico NPK de origen animal,FORTEC 4-3-3 PELLET,"INPROG, S.L.",23/01/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1913
F0001914/2023,Abono orgánico NPK de origen animal,NUBIECOL ORGANIC 4-3-3 PELLET,"INPROG, S.L.",23/01/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1914
F0001916/2023,Abono orgánico NPK de origen animal,FORTEC 4-3-3 POLVO,"INPROG, S.L.",23/01/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1916
F0001917/2023,Abono orgánico NPK de origen animal,NUBIECOL ORGANIC 4-3-3 POLVO,"INPROG, S.L.",23/01/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1917
F0001919/2023,Abono órgano-mineral nitrogenado líquido,AGROTHAME ORGANITE N-LIQ,"AGROAMB PRODALT, S.L.",08/02/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1919
F0001920/2023,Abono orgánico NK líquido de origen vegetal,Fh-Plenus,"FACTOR HUMUS ESPAÑA, S.L.",27/02/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1920
F0001925/2023,Abono órgano-mineral NK líquido,AGROTHAME ORGANITE PURINE,"AGROAMB PRODALT, S.L.",08/02/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1925
F0001926/2023,Abono órgano-mineral NP líquido,AGROTHAME ORGANITE LIQUID,"AGROAMB PRODALT, S.L.",05/04/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1926
F0001927/2022,Abono órgano-mineral NPK,HUMIBIO 6-7-7,"FERTINAGRO BIOTECH, S.L.",20/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1927
F0001928/2022,Abono órgano-mineral NPK,AGRIORGAN ECO 6-7-7,"FERTIUM MAXIMA, S.L.",20/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1928
F0001935/2023,Abono órgano-mineral NPK líquido,SERORGANIC ENGORDE,"SERAGRO INTEGRAL, S.L.",15/03/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1935
F0001936/2023,Abono órgano-mineral NPK líquido,SERORGANIC CRECIMIENTO,"SERAGRO INTEGRAL, S.L.",15/03/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1936
