Código,Tipo,Nombre comercial,Fabricante,F. de registro,Url,Composition
F0001713/2021,Abono orgánico NPK de origen animal y vegetal,OVIFERT PELET,"DEFEDER ALCOLEA, S.L.",05/10/2011,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1713,"2,5% Nitrógeno (N); 1,1% Fósforo (P); 1,9% Potasio (K)"
F0001722/2022,Abono órgano-mineral NPK líquido,12-3-6+2%MO TOV UREICO (R),"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1722,"12,0% Nitrógeno (N)"
F0001724/2022,Abono órgano-mineral NPK líquido,"5-3-9+2%MO+0,8MgO Suspen Sulfa","GAT FERTILIQUIDOS, S.A.",07/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1724,"5,5% Nitrógeno (N)"
F0001725/2022,Abono órgano-mineral NPK líquido,8-8-8+2%MO TOV UREICO (R),"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1725,"8,0% Nitrógeno (N)"
F0001726/2022,Abono órgano-mineral NPK líquido,4-8-10+2%MO TOV UR (R),"GAT FERTILIQUIDOS, S.A.",04/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1726,"4,0% Nitrógeno (N)"
F0001727/2022,Abono órgano-mineral NPK líquido,5-5-5+10% MO SUSPENSION,"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1727,"5,0% Nitrógeno (N)"
F0001728/2022,Abono órgano-mineral NK líquido,10-1-10+2%MO TOV UR (R),"GAT FERTILIQUIDOS, S.A.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1728,"10,0% Nitrógeno (N); 1,0% Fósforo (P)"
F0001729/2022,Abono órgano-mineral NK líquido,"2,8-0-7,5+20%MO SNI ","GAT FERTILIQUIDOS, S.A.",23/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1729,"2,8% Nitrógeno (N)"
F0001731/2022,Abono órgano-mineral NK líquido,VIGOR-E COMPLEX,"NOVASYS PHARMA, S.L.",29/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1731,"2,5% Nitrógeno (N); 4,1% Potasio (K); 0,04% Hierro (Fe); 0,48% Cinc (Zn)"
F0001732/2022,Abono orgánico nitrogenado de origen vegetal,AFICAM ORGANICO PLUS,"MIGUEL ANGEL CAMARERO, S.L.",09/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1732,"2,2% Nitrógeno (N); 2,1% Fósforo (P); 2,3% Potasio (K)"
F0001733/2022,Abono orgánico nitrogenado de origen vegetal,AFICAM ORGANICO COMPLEX,"MIGUEL ANGEL CAMARERO, S.L.",09/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1733,"2,2% Nitrógeno (N); 2,1% Fósforo (P); 2,3% Potasio (K)"
F0001734/2022,Abono órgano-mineral NK con lignito o leonardita,ZELSIUS,"COMERCIAL QUÍMICA MASSÓ, S.A.",14/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1734,"8,5% Nitrógeno (N); 15,0% Potasio (K); 4,7% Hierro (Fe); 1,0% Manganeso (Mn)"
F0001735/2022,Abono orgánico NPK de origen animal y vegetal,NEGROT-ECO,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",16/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1735,"8,0% Nitrógeno (N); 2,2% Fósforo (P); 1,8% Potasio (K)"
F0001736/2022,Abono órgano-mineral NP,NP 2-18-0+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1736,"2,0% Nitrógeno (N)"
F0001737/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 4-6-12+MO,"FERTIKALI, S.L.",23/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1737,"4,0% Nitrógeno (N); 12,0% Potasio (K)"
F0001738/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 5-10-20+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1738,"5,0% Nitrógeno (N); 20,0% Potasio (K)"
F0001739/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 7-12-7+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1739,"7,0% Nitrógeno (N); 7,0% Potasio (K)"
F0001740/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 8-15-15+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1740,"8,0% Nitrógeno (N)"
F0001741/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 8-16-8+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1741,"8,0% Nitrógeno (N)"
F0001742/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 9-20-5+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1742,"9,0% Nitrógeno (N)"
F0001743/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 10-24-8+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1743,"10,0% Nitrógeno (N)"
F0001745/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 18-5-8+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1745,"18,0% Nitrógeno (N)"
F0001746/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 15-15-15+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1746,"15,0% Nitrógeno (N); 15,0% Potasio (K)"
F0001747/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 5-10-15+MO,"FERTIKALI, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1747,"5,0% Nitrógeno (N); 15,0% Potasio (K)"
F0001748/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 20-5-10+MO,"FERTIKALI, S.L.",17/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1748,"20,0% Nitrógeno (N)"
F0001749/2022,Enmienda orgánica Compost,COTRACOMPOST-MIX,"INTRAVAL, S.L.",14/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1749,"1,7% Nitrógeno (N); 2,4% Fósforo (P)"
F0001750/2022,Abono orgánico NP de origen animal y vegetal,ORGANOKALI,"FERTIKALI, S.L.",23/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1750,"3,0-4,9% Nitrógeno (N); 3,3-4,4% Fósforo (P); 0,2-0,7% Potasio (K); 0,038% Cobre (Cu); 0,09% Cinc (Zn)"
F0001751/2022,Abono orgánico NPK de origen animal y vegetal,SOUSACAMP ABONO ORGÁNICO NPK (PELETS),"SOUSACAMP ESPAÑA, S.A.",18/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1751,"1,8-2,0% Nitrógeno (N); 1,6-1,8% Fósforo (P); 2,0-2,4% Potasio (K)"
F0001752/2022,Abono órgano-mineral NK líquido,LUZER FN,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",28/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1752,"9,0% Nitrógeno (N); 9,0% Potasio (K)"
F0001757/2022,Abono orgánico NPK de origen animal y vegetal,AGROTHAME ORGANITE START,"AGROAMB PRODALT, S.L.",15/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1757,"1,0-2,1% Nitrógeno (N); 1,0-2,0% Fósforo (P); 1,0-1,8% Potasio (K)"
F0001759/2022,Abono órgano-mineral NP líquido,NUTRIPHOS COMPLEX,BIOTECH AGRICO SLU,17/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1759,"7,0% Nitrógeno (N); 21,0% Fósforo (P)"
F0001762/2022,Abono órgano-mineral NK líquido,FERTIMOL,"FERTILIZANTES XILOCA, S.L.",08/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1762,"2,8% Nitrógeno (N); 4,0% Potasio (K)"
F0001763/2022,Abono órgano-mineral NK líquido,BATALLÓN,"AGROINDUSTRIAL KIMITEC, S.L.",19/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1763,"2,0% Nitrógeno (N)"
F0001766/2022,Abono órgano-mineral NPK,ORGAMIN-AZ100,"FERESP, S.L.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1766,"4,1-5,5% Nitrógeno (N); 5,1-6,5% Fósforo (P); 11,1-12,5% Potasio (K)"
F0001767/2022,Abono órgano-mineral NPK,ORGAMIN-AZ97,"FERESP, S.L.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1767,"7,1-8,5% Nitrógeno (N); 3,1-4,5% Fósforo (P); 7,1-8,5% Potasio (K)"
F0001768/2022,Abono órgano-mineral NPK,ORGAMIN-AZ92,"FERESP, S.L.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1768,"5,1-6,5% Nitrógeno (N); 5,1-6,5% Fósforo (P); 3,0-3,5% Potasio (K)"
F0001769/2022,Abono órgano-mineral NK líquido,NIXID-ECO,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",14/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1769,"3,8% Nitrógeno (N); 1,0% Fósforo (P)"
F0001774/2022,Abono órgano-mineral nitrogenado líquido,ATRIFOL-C,"NUTRIENTES FOLIARES, S.A.",25/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1774,"25,0% Nitrógeno (N)"
F0001775/2022,Abono órgano-mineral nitrogenado líquido,NITROFOL,"NUTRIENTES FOLIARES, S.A.",11/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1775,"25,0% Nitrógeno (N); 1,0% Potasio (K)"
F0001776/2022,Abono órgano-mineral nitrogenado líquido,NITROPOWER,"NUTRIENTES FOLIARES, S.A.",13/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1776,"25,6% Nitrógeno (N)"
F0001777/2022,Abono órgano-mineral nitrogenado líquido,ATRIFOL,"NUTRIENTES FOLIARES, S.A.",13/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1777,"24,4% Nitrógeno (N)"
F0001778/2022,Abono órgano-mineral NPK,NUTRALENT 4-4-4,"INDUSTRIAL DE FERTILIZANTES INTEGRALES, S.L. (INFERIN, S.L.)",16/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1778,"4,0% Nitrógeno (N); 0,6% Hierro (Fe)"
F0001779/2022,Enmienda orgánica Vermicompost,"HUMUS DE LOMBRIZ ""GREEN PLANTS""","PLANETA FERTIL, S.L.",08/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1779,
F0001780/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA SUMMUM-S 25,"FERTIUM MAXIMA, S.L.",24/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1780,"5,0% Nitrógeno (N)"
F0001781/2022,Abono órgano-mineral NPK,AM ACTIBION 35  5-10-6s (2 MgO) 30 m.o.,"FERTIUM MAXIMA, S.L.",27/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1781,"5,0% Nitrógeno (N)"
F0001782/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA ADVANCED 40,"FERTIUM MAXIMA, S.L.",27/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1782,"5,0% Nitrógeno (N)"
F0001783/2022,Abono órgano-mineral NPK,HUMIFERTAK PROFESIONAL ADVANCED 40,"FERTINAGRO BIOTECH, S.L.",27/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1783,"5,0% Nitrógeno (N)"
F0001785/2022,Abono órgano-mineral NK líquido,AHP-FULVIC,AHP CROPSCIENCE,28/02/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1785,"4,0% Nitrógeno (N)"
F0001786/2022,Abono orgánico NPK de origen animal y vegetal,FEM DE SAC PELLET,"FERTINAGRO BIOTECH, S.L.",13/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1786,"3,0% Nitrógeno (N); 3,0% Fósforo (P); 1,0% Potasio (K)"
F0001790/2022,Abono órgano-mineral nitrogenado líquido,GREEN CROPS,"NUTRIENTES FOLIARES, S.A.",09/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1790,"23,5% Nitrógeno (N)"
F0001791/2022,Abono órgano-mineral NK líquido,CALINA MADURACION,"NUTRIENTES FOLIARES, S.A.",23/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1791,"2,0% Nitrógeno (N)"
F0001797/2022,Abono orgánico NPK de origen animal y vegetal,ACTION PLUS,"AGUIGAME, S.L.",26/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1797,"6,0% Nitrógeno (N); 7,2% Fósforo (P); 7,0% Potasio (K)"
F0001798/2022,Abono órgano-mineral NK líquido con turba,AGRIMARTIN BIOLOGICO LIQUIDO,"FERTINAGRO BIOTECH, S.L.",11/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1798,"5,0% Nitrógeno (N)"
F0001801/2022,Abono órgano-mineral NK líquido,RIZHUM KULVIC,"RIZHUM NATURE, S.L.",24/04/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1801,"4,0% Nitrógeno (N)"
F0001802/2022,Abono orgánico NPK de origen animal,AVICOMPOST DE ARAKIL,"AVICOLA SAN MIGUEL, SAT 705-NA",14/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1802,"4,7% Nitrógeno (N); 2,5% Fósforo (P); 4,8% Potasio (K)"
F0001805/2022,Abono órgano-mineral nitrogenado,NITROHUMATO SUMMUM 20/42,"FERTINAGRO BIOTECH, S.L.",07/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1805,"15,0% Nitrógeno (N); 2,0% Hierro (Fe)"
F0001806/2022,Abono órgano-mineral nitrogenado,AGRIORGAN MAXIMA SUMMUM 20/42,"FERTIUM MAXIMA, S.L.",07/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1806,"15,0% Nitrógeno (N); 2,0% Hierro (Fe)"
F0001807/2022,Abono órgano-mineral NPK,HUMIFERTAK PROFESIONAL ADVANCED SPRING,"FERTINAGRO BIOTECH, S.L.",20/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1807,"10,0% Nitrógeno (N)"
F0001808/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA ADVANCED SPRING,"FERTIUM MAXIMA, S.L.",21/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1808,"10,0% Nitrógeno (N)"
F0001809/2022,Enmienda orgánica Vermicompost,LOMBRINEVADA,GONZALO GOMEZ NAVARRO,09/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1809,"1,5% Nitrógeno (N)"
F0001810/2022,Enmienda orgánica húmica,QUELHUMUS,"INFERCO, S.L.",29/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1810,"1,1% Nitrógeno (N); 1,0% Potasio (K)"
F0001811/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA ADVANCED 26,"FERTIUM MAXIMA, S.L.",21/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1811,"5,0% Nitrógeno (N)"
F0001812/2022,Abono órgano-mineral NPK,AGRIORGAN MAXIMA COMPLEX K,"FERTIUM MAXIMA, S.L.",26/03/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1812,"8,0% Nitrógeno (N)"
F0001821/2022,Abono órgano-mineral NK líquido,FUMUS LIQUIDO,"JOSE FUSTE, S.A.",01/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1821,"4,0% Nitrógeno (N)"
F0001822/2022,Enmienda orgánica Compost,GROWFER,"PROINTRAVAL, S.L.",17/05/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1822,"3,2-3,5% Nitrógeno (N); 0,9-1,9% Fósforo (P); 1,0-1,4% Potasio (K)"
F0001824/2022,Enmienda orgánica Compost,COBIOFERSA,"BIOMASA DEL GUADALQUIVIR, S.A.",27/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1824,"3,0% Nitrógeno (N); 4,2% Fósforo (P)"
F0001845/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 10-5-15+MO,"FERTIKALI, S.L.",18/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1845,"10,0% Nitrógeno (N)"
F0001847/2022,Enmienda orgánica Compost,VALDI-COMPOST,"TRADEBE-VALDILECHA,S.L.",19/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1847,"2,4-3,5% Nitrógeno (N); 3,5-5,0% Fósforo (P); 1,1-2,2% Potasio (K)"
F0001849/2023,Abono órgano-mineral NPK con lignito o leonardita,NATURGAN 5-4-5,LABORATORIOS ECONATUR S.L.,22/03/2013,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1849,"5,0% Nitrógeno (N)"
F0001850/2022,Abono órgano-mineral NK líquido,BOOSTER KG,BIOTECH AGRICO SLU,04/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1850,"2,0% Nitrógeno (N)"
F0001851/2022,Abono órgano-mineral NPK,FERTICOM 4-4-12,"FERTILIZANTES GOMBAU, S.L.",20/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1851,"4,0% Nitrógeno (N)"
F0001852/2022,Abono órgano-mineral NK líquido,HUMIACTIV 25,"AGROINDUSTRIAL KIMITEC, S.L.",16/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1852,"3,4% Nitrógeno (N); 1,0% Fósforo (P)"
F0001858/2022,Abono orgánico NPK de origen animal,BIOF,"AVIPORTO, S.L.",26/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1858,"2,0-4,0% Nitrógeno (N); 2,0-4,0% Fósforo (P); 2,0-5,0% Potasio (K)"
F0001859/2022,Abono orgánico NPK de origen animal,ABONOR,"AVIPORTO, S.L.",26/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1859,"2,0-4,0% Nitrógeno (N); 2,0-4,0% Fósforo (P); 2,0-5,0% Potasio (K)"
F0001860/2022,Abono orgánico NK líquido de origen vegetal,SANABE,"ABONOS VIVA, S.L.",01/06/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1860,"2,2% Nitrógeno (N); 5,6% Potasio (K)"
F0001862/2022,Abono orgánico NK líquido de origen vegetal,HISPAMOL,"HISPALENSE DE LIQUIDOS, S.L.",19/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1862,"3,5% Nitrógeno (N); 6,4% Potasio (K)"
F0001863/2022,Abono orgánico nitrogenado de origen vegetal,BESTIM,"NUTRICROP, S.L.",28/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1863,"11,9% Nitrógeno (N)"
F0001869/2022,Abono orgánico NPK de origen animal y vegetal,ACTION,"AGUIGAME, S.L.",13/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1869,"4,0% Nitrógeno (N); 4,1% Fósforo (P); 4,0% Potasio (K)"
F0001870/2022,Abono orgánico NK líquido de origen vegetal,BIO SANABE,"ABONOS VIVA, S.L.",05/07/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1870,"2,2% Nitrógeno (N); 5,6% Potasio (K)"
F0001878/2022,Abono orgánico NK líquido de origen vegetal,W. FULVIC M.O.,"AGROSERNA, S.L.",20/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1878,"3,4% Nitrógeno (N); 7,5% Potasio (K)"
F0001880/2022,Abono órgano-mineral NK líquido,SPLENDOR F,"AGROSERNA, S.L.",26/11/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1880,"2,9% Nitrógeno (N); 0,05% Hierro (Fe); 0,04% Cinc (Zn)"
F0001883/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 5-10-10+MO,"FERTIKALI, S.L.",17/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1883,"5,0% Nitrógeno (N)"
F0001884/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 6-12-6+MO,"FERTIKALI, S.L.",17/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1884,"6,0% Nitrógeno (N)"
F0001885/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 7-10-20+MO,"FERTIKALI, S.L.",18/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1885,"7,0% Nitrógeno (N)"
F0001887/2022,Abono órgano-mineral NPK,FERTI-MEZCLA 20-5-5+MO,"FERTIKALI, S.L.",18/09/2012,https://www.mapa.gob.es/app/consultafertilizante/DetalleFertilizante.aspx?clave=1887,"20,0% Nitrógeno (N)"
